0;1;0;0;0.0;0;0;0
0;0;1;0;-0.6000000000000001;0;0;0
1;0;0;0;0;0;0;4.0
0;0;0;1;-1.5;0;0;0
2;0;1;0;0;0;0;1.4000000000000004
0;0;1;0;0;0;0;4.5
1;0;0;0;0;0;0;4.0
0;1;0;0;0.5;0;0;0
0;0;0;1;-0.5;0;0;0
0;0;1;0;0;0;0;2.2
1;0;0;0;0;0;0;4.0
0;1;0;0;0.30000000000000004;0;0;0
0;0;0;1;0.5;0;0;0
0;1;0;0;0;0;0;2.4000000000000004
0;0;1;0;1.5;0;0;0
2;0;1;0;0;0;0;-0.3999999999999999
1;0;0;0;0;0;1.0;0
0;0;0;1;-0.5;0;0;0
1;0;2;0;0;0;0;1.9999999999999996
0;1;0;0;0.7;0;0;0
0;0;1;0;0;0;0;4.6
1;0;0;0;0;0;0.7000000000000001;0
1;0;2;0;0;0;0;3.1999999999999997
0;0;0;1;1.0;0;0;0
0;1;0;0;0.9000000000000001;0;0;0
0;0;1;0;1.2999999999999998;0;0;0
2;0;1;0;0;0;0;-0.8000000000000003
0;0;0;1;1.0;0;0;0
1;0;0;0;0;0;0;4.1
0;0;1;0;0;0;0;3.5999999999999996
0;1;0;0;0;0;0;1.8
1;0;0;0;0;0;0;4.0
0;0;0;1;-0.5;0;0;0
0;0;1;0;0;0;0;3.5999999999999996
0;1;0;0;0;0;0;3.4
1;0;0;0;0;0;0.29999999999999993;0
0;0;0;1;0.0;0;0;0
1;0;2;0;0;0;0;2.0
0;1;0;0;1.4;0;0;0
0;0;1;0;0;0;0;3.9
1;0;0;0;0;0;1.0;0
1;0;2;0;0;0;0;2.0
0;0;0;1;0.5;0;0;0
0;0;1;0;0;0;0;3.8
0;1;0;0;0;0;0;2.4000000000000004
1;0;0;0;0;0;0;4.0
0;0;0;1;1.0;0;0;0
0;0;1;0;0;0;0;2.2
0;1;0;0;0;0;0;3.4
1;0;0;0;0;0;0;4.1
0;0;0;1;0.3999999999999999;0;0;0
0;1;0;0;1.3;0;0;0
0;0;1;0;1.9;0;0;0
2;0;1;0;0;0;0;-0.19999999999999973
1;0;0;0;0;0;0;4.0
0;0;0;1;-0.5;0;0;0
0;1;0;0;0.5;0;0;0
0;0;1;0;0;0;0;3.3
1;0;0;0;0;0;-0.09999999999999998;0
1;0;2;0;0;0;0;3.0000000000000004
0;0;0;1;-1.0;0;0;0
0;1;0;0;0;0;0;3.1999999999999997
0;0;1;0;0.3999999999999999;0;0;0
2;0;1;0;0;0;0;0.3999999999999999
1;0;0;0;0;0;0;4.0
0;0;0;1;-1.0;0;0;0
0;1;0;0;0;0;0;3.4
0;0;1;0;0.6999999999999997;0;0;0
2;0;1;0;0;0;0;1.0
1;0;0;0;0;0;1.0;0
0;0;0;1;0.0;0;0;0
1;0;2;0;0;0;0;2.1999999999999997
0;0;1;0;0;0;0;3.1999999999999997
0;1;0;0;0;0;0;2.6
1;0;0;0;0;0;0;4.0
0;0;0;1;0.0;0;0;0
